ID;dsc_item;melhor_classif;match_score;Quant. Carct. DSC;Quant. Carct. Classif;Diferença
374;caixa d'agua 5000 l; caixa d'agu;71;19;12;7
154;agua mineral galao 20 litr; agua mineral nat;70;26;17;9
318;bomba d' agua lote 2; bomba d ' agua para mo;70;20;23;-3
322;bomba d'agua  fiat; bomba d'agua veiculo automo;70;18;28;-10
535;filtro de agua para ponto d; filtro de mascara contra g;70;27;27;0
700;mangueira de alta pressao para agua e ; mangueira alta pressa;70;38;22;16
710;marcador temperatura da agua 1; indicador temperatura e um;70;30;27;3
939;torneira boia para caixa d'agua 12; tampa para caixa d'agu;70;34;23;11
118;agua destilada 10 ml; agua destil;69;20;12;8
123;agua destilada 500ml; agua destil;69;20;12;8
209;agua sanitaria 1lt; agua sanit;69;18;11;7
332;bomba de agua 6909; bomba de vacu;69;18;14;4
539;filtro para agua de barro 3 vel; feltro para apagador de quadro negr;69;31;36;-5
548;filtro separador de agua psd980; filtro separador ;69;31;18;13
652;lixa d'agua 60; caixa d'agu;69;14;12;2
804;reservatorio agua rad lote 33; reservatorio cardiotom;69;29;23;6
170;agua mineral sem gas cop; agua mineral nat;68;24;17;7
312;bomba d agua ducat; bomba d ' agua para mo;68;18;23;-5
363;caixa d'agua  1000 lt; caixa d'agua de amiant;68;21;23;-2
585;inseticida a base d'agu; tinta base agu;68;23;15;8
813;reservatorio de agua do radiador tor; reservatorio cardiotom;68;36;23;13
938;torneira boia cxa d'agua 34; boia caixa d'agu;68;27;17;10
101;agua bidestilada 5 ml; agua destil;67;21;12;9
120;agua destilada 1000ml; agua destil;67;21;12;9
121;agua destilada 5 litr; agua destil;67;21;12;9
128;agua destilada injeta; agua destil;67;21;12;9
144;agua mineral 500ml sgas g; agua mineral nat;67;25;17;8
158;agua mineral litro 991012; agua mineral nat;67;25;17;8
163;agua mineral sgas  500 ml; agua mineral nat;67;25;17;8
166;agua mineral sem gas 20 l; agua mineral nat;67;25;17;8
329;bomba d?agua ; bomba d ' agua para mo;67;13;23;-10
364;caixa d'agua 1000l poliet; caixa d'agua de amiant;67;25;23;2
545;filtro separador de agua fs 19791; filtro separador ;67;33;18;15
565;frange para caixa dagua 25mm; tampa para caixa d'agu;67;28;23;5
597;jarra agu; barra magne;67;9;12;-3
602;jarra inox para agua 1lt; carro aco inox para cur;67;24;24;0
648;lixa d'agua 100; caixa d'agu;67;15;12;3
650;lixa d'agua 120; caixa d'agu;67;15;12;3
651;lixa d'agua 180; caixa d'agu;67;15;12;3
675;luva 50 mm para agu; luva para gol;67;19;14;5
707;marca texto a base d agu; tinta base agu;67;24;15;9
851;servico de solda em registro de agu; servicos de instalacao de estruturas de ac;67;35;43;-8
946;tubo d'agua sien; tubo vacutain;67;16;14;2
963;tubo pvc sold pagua 20mm  4; tubo pvc solda;67;27;15;12
13;radiador de agua de arrefec; alimentador de maquina de serr;66;27;31;-4
377;caixa d'agua de polietileno 2500 lt; caixa d'agua de amiant;66;35;23;12
543;filtro separador de agua  caterpil; separador de placas de bat;66;34;27;7
778;recarga agua pressurizada 10 lt; capacete nao pressurizado  pilot;66;31;33;-2
811;reservatorio da agua do radiador  2; reservatorio agua tipo australiano de 14000 at;66;35;47;-12
27;009068 adaptador para caixa d agua 20mm; tampa para caixa d'agu;65;39;23;16
34;016154 agua destilada 5ml; agua destil;65;25;12;13
106;agua bidestilada 10 ml; agua destil;65;22;12;10
117;agua destilada 1000 ml; agua destil;65;22;12;10
119;agua destilada 1000 ml; agua destil;65;22;12;10
148;agua mineral com gas 500ml; agua mineral nat;65;26;17;9
156;agua mineral galao de 20 litr; agua mineral nat;65;29;17;12
173;agua mineral sem gas 500ml; agua mineral nat;65;26;17;9
360;caixa d agua pvc 1000l; caixa de gordura em pvc;65;22;24;-2
368;caixa d'agua 1000lt poliet; caixa d'agua de amiant;65;26;23;3
380;caixa d'agua fibra 1000 lt; caixa d'agua de amiant;65;26;23;3
401;caixa d`agua 1000 lt; caixa d'agua de amiant;65;20;23;-3
443;chuveiro para agua fr; veiculo para lavar ru;65;21;22;-1
507;disco freio  kombi agu; disco relogio vig;65;22;18;4
519;esguicho metal agu; gancho metal;65;18;13;5
542;filtro separador d agua para volare v8; caixa separadora agua  ole;65;38;27;11
550;filtro separador de agua retro cat 416; separador de placas de bat;65;38;27;11
598;jarra de louca p agu; barra de lata;65;20;14;6
796;registro de agua da cuspid; filtro de agua industr;65;26;23;3
806;reservatorio aguasprinter 313; reservatorio resfri;65;29;20;9
816;reservatorios agua  toyota eti; reservatorio agua tipo australiano de 14000 at;65;30;47;-17
956;tubo ligacao agua vaso pvc; tubo coagulacao ;65;26;17;9
960;tubo pvc 34  agu; tubo pvc solda;65;16;15;1
978;vasilhame de agua 20 litr; vasilhame leit;65;25;15;10
77;adaptador de agua de 34 polegada marron; adaptador de antena de ond;64;39;27;12
137;agua mineral sem gas 500 ml; agua mineral nat;64;27;17;10
168;agua mineral sem gas 500 ml; agua mineral nat;64;27;17;10
300;bolacha de agua e sal pct; mola de valvula de escap;64;25;25;0
313;bomba d agua jcb 214 ; bomba d ' agua para mo;64;21;23;-2
366;caixa d'agua 1000 lts rt; caixa d'agua de amiant;64;24;23;1
382;caixa d'agua fibra 500l c t; caixa d'agua de amiant;64;27;23;4
396;caixa de agua fibra 500 litr; caixa de aco para lix;64;28;22;6
496;cx d'agua polietileno 1000l; tubo polietileno flexi;64;27;23;4
537;filtro de combustivel separador de agua psd980; controle de combustivel para motor a jat;64;46;41;5
544;filtro separador de agua atego 1719; filtro separador ;64;35;18;17
547;filtro separador de agua moto niveladora xcmg; filtro purificador de ar  motor veiculo  automot;64;45;49;-4
647;lixa d' agua ndeg 150; caixa d'agua de amiant;64;21;23;-2
665;lixeira para copos agua e caf; caixa para composica;64;29;21;8
673;luva 40mm para instalacao de agu; areia  filtracao de agu;64;32;24;8
814;reservatorio de agua fiat uno 1213; reservatorio de succa;64;34;22;12
6;agua destilada galao de 5 litr; destilador de nitrogeni;63;30;24;6
7;agua destilada para autoclav; disco ruptura autoclav;63;28;23;5
21;000147 agua sanitaria 2l; agua sanit;63;24;11;13
23;003556 agua destilada 10ml; agua destil;63;26;12;14
63;71100619 bomba da agu; bomba de vacu;63;21;14;7
66;8  agua sanitaria 1 litr; agua sanit;63;24;11;13
335;bomba para agua 34 50mt; bomba para engrax;63;23;18;5
355;caixa d agua de polietileno 310 l; diestearato de polietileno glicol;63;33;34;-1
395;caixa de agua em polietileno 500l; diestearato de polietileno glicol;63;33;34;-1
466;copo descartavel 200ml para agu; coador descartavel caf;63;31;23;8
601;jarra de vidro para agua 1 litr; artigo de vidro para m;63;31;23;8
728;niple entrada de agua bomba de vacu; tampa de succao bomba d'agu;63;35;28;7
876;tampa do reservatorio de agua onibus vw 15190; tampa reservatorio combusti;63;45;28;17
943;tubo agua 60mm 6mt; tubo liga mista met;63;18;20;-2
75;adaptador c flange e anel p caixa d?agu; adaptador de antena de gu;62;39;26;13
131;agua destilada para injecao de 10 ml; molde para injecao de produt;62;36;29;7
142;agua mineral 20 l com o gala; agua mineral nat;62;28;17;11
198;agua raz 1 litr; agua sanit;62;15;11;4
199;agua raz 5l; agulha para ligad;62;11;18;-7
210;agua sanitaria 2 litr; agua sanit;62;21;11;10
302;bolsa agua quente 01lt; bola basquetebol;62;22;17;5
354;caixa d agua de polietileno 1000 lt; caixa d'agua de amiant;62;35;23;12
361;caixa d' agua 310 litros em polietilen; caixa d'agua de aco com colun;62;38;30;8
367;caixa d'agua 1000l polietilen; caixa d'agua de amiant;62;29;23;6
373;caixa d'agua 500 lt  polietilen; caixa d'agua de aco com colun;62;31;30;1
376;caixa d'agua de fibra 500 l redonda c tamp; caixa d'agua de amiant;62;42;23;19
381;caixa d'agua fibra 3000 l; caixa d'agua de amiant;62;25;23;2
383;caixa d'agua polietileno 310l; tubo polietileno flexi;62;29;23;6
385;caixa d'agua polietileno 500l; tubo polietileno flexi;62;29;23;6
386;caixa d'agua pvc 10000 lt; caixa d'agua de amiant;62;25;23;2
387;caixa d'agua pvc 250 litros c; caixa d'agua de amiant;62;29;23;6
402;caixa d`agua de polietileno 5000 litr; diestearato de polietileno glicol;62;37;34;3
495;cx d agua  polietileno  310l ; tubo polietileno flexi;62;29;23;6
632;lavagem de caixa d'agua na farmacia de min; caixa d'agua de amiant;62;42;23;19
655;lixa d'agua n 100; caixa d'agu;62;17;12;5
656;lixa d'agua no100; caixa d'agu;62;17;12;5
774;radiador dagua rg140; irradiador de sang;62;20;19;1
849;servico de munck prestado para retirar caixa d agu; servicos de suporte para transporte aqua;62;50;41;9
869;suporte p copo de agua p 100; suporte de garrafao de agu;62;28;27;1
948;tubo de pvc branco para agua fria 12; tubo de cobre para fim eletr;62;36;29;7
959;tubo pvc 20mm agu; tubo pvc solda;62;17;15;2
76;adaptador cola e rosca 50mm agu; adaptador de lampada soquete  rosca  soquet;61;31;44;-13
79;adaptador de caixa de agua soldavel 20 x 12; adaptador de antena de gu;61;43;26;17
112;agua desmineralizada  galao 5 litr; regua de sinalizacao de transit;61;34;32;2
152;agua mineral copo cxa c 48 un; agua mineral nat;61;29;17;12
216;agua sanitaria cx 12x1; agua sanit;61;22;11;11
250;bebedouro de agua coluna 200 litr; bebedouro agua garrafa;61;33;23;10
320;bomba d'agua  07w121011; bomba d ' agua para mo;61;23;23;0
351;caixa d agua 310 lt c tamp; caixa d'agua de amiant;61;26;23;3
389;caixa d'agua 1000 litros  polietilen; caixa d'agua de aco com colun;61;36;30;6
394;caixa de agua  polietileno 250 l; diestearato de polietileno glicol;61;32;34;-2
599;jarra de plastico resistente para agua 05 litr; composto resistente a agu;61;46;26;20
643;lixa agua 2; caixa d'agu;61;11;12;-1
662;lixa de agua numero 100; bloco de maquina numer;61;23;23;0
663;lixa d' agua n  180; caixa d ' agu;61;19;14;5
720;material de manutencao  lixa d agua  220  ; material para manutencao bens imo;61;42;34;8
817;resina a base de agua incolor 36l ; pintura a base de col;61;34;22;12
853;servicos de limpeza de caixas d'agua nas escol; servicos de agencias de notic;61;46;30;16
52;14642 bolacha agua e s; placa aquisicao de s;60;22;21;1
188;agua pinjecao 5ml; agulha punca;60;17;13;4
194;agua para injecao abd 10 ml; animal para extracao de l;60;27;26;1
237;aquecedor portatil eletrico p agua e liquidos rabo qu; aquecedor nao eletrico de ambi;60;53;31;22
291;boia p caixa d'agua de 12  130050292; boia caixa d'agu;60;36;17;19
323;bomba d'agua motor 71100619; bomba d ' agua para mo;60;27;23;4
324;bomba d'agua no 55225126; bomba d ' agua para mo;60;24;23;1
471;copo descartavel para o consumo de agu; tubo descartavel com iod;60;38;25;13
564;fornecimento e instalacao de tubo de ligacao de agu; amortecedor de vibracao de tubo e c;60;51;36;15
572;garrafa agua mineral 510ml com; agua mineral nat;60;30;17;13
577;garrafa termica para agua5 litr; grade metalica para arquitet;60;31;29;2
657;lixa d'agua no 100; caixa d'agu;60;18;12;6
658;lixa d'agua no 150; caixa d'agu;60;18;12;6
661;lixa de agua 120; caixa d ' agu;60;16;14;2
753;pino central   kombi agu; pino cambio tra;60;24;16;8
870;suporte p galao de agua mineral galao com capacidade para 20 litr; suporte garrafao de agua nao refrigerado com  torn;60;65;51;14
892;te pvc para agua solda  40mm; pinca para uso med;60;28;19;9
2;biscoito agua e s; botao para estof;59;17;17;0
17;bombinha jogar agua no parabris; bomba d ' agua para mo;59;31;23;8
33;013275 lixa d agua med; polia  uso med;59;22;15;7
38;038827 agua sanitaria 5 lt; agua sanit;59;26;11;15
62;724 ducha higienica com registro para controle do fluxo de agua 12; equipamento para controle de iluminacao de ru;59;66;46;20
81;adaptador flange para caixa d'     agua 32 mm; tampa para caixa d'agu;59;45;23;22
102;agua bidestilada amp 10ml; agua destil;59;25;12;13
174;agua oxigenada 10 v; agua adicionada com s;59;19;22;-3
270;biscoito agua e s; botao para estof;59;17;17;0
303;bolsa de agua quente 2 litr; bolsa de alumini;59;27;17;10
365;caixa d'agua 1000 lt polietilen; caixa d'agua de amiant;59;31;23;8
388;caixa d'agua tanque 2500 lt em polietilen; caixa d'agua de aco com colun;59;41;30;11
398;caixa de d' agua fibra de 10000; caixa d'agua de amiant;59;31;23;8
399;caixa de polietileno para armazenamento de agua com capacidade de 2000 lt; unidades de armazenamento de entrada e saida de d;59;73;50;23
474;corante liquido a base de agua 50ml; propelente liquido embalado a base de petrole;59;35;46;-11
497;decalque de olhos a base de agu; equipamento analise de agu;59;31;27;4
532;filtro combustivel separador de agua r 120l10 mb ; filtro de combustivel para bomba injetora   motordiesel;59;49;56;-7
732;outorga para captacao de agua para abastec; forma para corpo de prova para concret;59;42;39;3
748;perfuracao de poco artesiano e sistema de abastecimento de agua   corrego barr; componente do sistema de abastecimento em vo;59;78;45;33
756;poco tubular profundo para captacao de agua subterrane; conduto de ceramica de uso subterrane;59;54;38;16
771;purificador de agua refrigerado de bancadapared; trocador de calor para refrigeraca;59;47;35;12
871;t 25 mm agu; mangu;59;11;6;5
61;6q0 122051am  mangueira inf radiador mangueira d agu; mangueira radiador veiculo automo;58;52;34;18
82;adaptador p cx d agua 25 mm  franj; adaptador de ferramenta man;58;34;28;6
110;agua de coco caixa de agua de coco 1 lt de boa qual; regulador hidraulico de agua de motor a jato de aeronav;58;51;56;-5
177;agua oxigenada 10 volum; agua adicionada com s;58;23;22;1
192;agua para injecao 5 ml agua para injecao 5 ml; maquina para selecao e separacao de f;58;45;38;7
196;agua para injetaveis ampola 5 ml; maquinas para industria de polpa e de papel;58;32;44;-12
246;barra de cano pvc agua ? com 06 metr; barra de aco com secao sextav;58;36;30;6
294;boia para caixa d'agua com bitola de 12; tampa para caixa d'agu;58;39;23;16
358;caixa d agua polietileno de 1000; tubo polietileno flexi;58;32;23;9
390;caixa d? agua polietileno 250 lt; tubo polietileno flexi;58;32;23;9
406;calca de brim leve cor verde agu; calca impermeavel  uso med;58;32;27;5
422;cano de agua soldavel barra 6m 25mm; cuba de aco inoxidavel para p;58;35;30;5
426;cap pvc roscavel branco para agua fria 2; bucha instalacao predial agua fr;58;40;33;7
645;lixa d agua no220; caixa d ' agu;58;17;14;3
653;lixa d'agua em folha grao 100; caixa d'agua de amiant;58;29;23;6
973;uniao pvc para solda 12 agua fr; ferro para solda a g;58;31;21;10
31;011222 caixa d agua de fibra polietileno 1000lt; caixa d'agua de amiant;57;47;23;24
37;028475 filtro d agua wf c2 psa331; filtro de agua industr;57;33;23;10
100;agua bidesmineralizada para autoclave de 05 lt; esfera de sinalizacao para linha de transmica;57;46;46;0
108;agua bidestilada para injecao 10 ml; passadeira para lica e p;57;35;25;10
109;agua boricada 3% 1000 ml; agua boric;57;24;11;13
187;agua p injecao bolsa 01lt; agua mineral nat;57;25;17;8
195;agua para injecao com 1000ml; agulha para punca;57;28;18;10
206;agua sanitaria  embalagem 1l; equipamento embalagem palet;57;28;28;0
276;biscoito salgado tipo agua e sal embalagem de 400 gr; reservatorio agua tipo australiano de 14000 at;57;52;47;5
279;biscoito tipo agua e s; canhao monitor de agua e espum;57;22;31;-9
306;bolsa p agua quente 20 x 30; bolsa parenter;57;27;15;12
353;caixa d agua de fibra de vidro para 500 lts com tampa ; banheira de fibra de vidro de uso domes;57;54;40;14
450;cola branca a base de agua 1 kg; aquecedor de agua a g;57;31;22;9
530;filtro combustivel no original 2ro127177j separador de agu; filtro combustivel  posto abastec;57;58;34;24
570;galao de plastico vazio para agua  capacidade 20l ; torneira de plastico para instalacao hidraul;57;50;45;5
613;joelho de 12  para agua ; aparelho dvd para automo;57;24;25;-1
766;purificador de agua 190010007031056; aparelho purificador de agu;57;35;28;7
835;sensor temperatura agua caminhao bau; indicador temperatura e um;57;36;27;9
850;servico de recuperacao do sistema de bombeamento e tubulacao de agua  caminhao mb l1111; servicos de integracao de sistemas em tecnologia da informacao e comunicacao tic;57;87;81;6
881;tampao marrom para agua de 110; aparelho para purificacao de ;57;30;30;0
893;te pvc para agua solda 50mm 1a l; ferro para solda a g;57;32;21;11
907;tinta acracetagua marinha 18; tinta para carimb;57;28;18;10
944;tubo agua sold 20mmx6 metr; tubo liga mista met;57;26;20;6
949;tubo de pvc para agua fria de 25mm inclusive conexo; estrutura de concreto para linha de ate 725kv inclusiv;57;51;55;-4
32;012443 agua sanitaria 2 litr; agua sanit;56;28;11;17
83;adaptador soldavel para caixa d'agua pvc 25mm x ?; tampa para caixa d'agu;56;49;23;26
107;agua bidestilada ampola c 10 ml; maquina industrial de aplainar m;56;31;33;-2
127;agua destilada frasco com 05 litr; tanque de agua domestico ate 400 litr;56;33;38;-5
191;agua para injecao 10 ml agua para injecao 10 ml; maquina para selecao e separacao de f;56;47;38;9
193;agua para injecao 5ml  agua para injecao 5ml; maquina para selecao e separacao de f;56;44;38;6
317;bomba d agua uno mille way 2012; bomba d ' agua para mo;56;31;23;8
348;caixa d agua 1000 l e polietileno com tamp; caixa d'agua de aco com colun;56;42;30;12
369;caixa d'agua 15000lt  em polietileno com tamp; caixa d'agua de aco com colun;56;45;30;15
427;cap pvc roscavel 34 para agua fria pred; mancal para vagao ferroviari;56;39;29;10
473;copo tipo taca para agua 360 ml crist; fita para maquina de escritori;56;37;31;6
482;corretivo liquido a base de agua tubo de 18 ml; combustiveis e propelentes liquidos a base de petrole;56;46;54;-8
557;flange de pvc de ? marrom agua fr; ferragem de pau  de  carga uso nav;56;33;35;-2
558;flange rosqueavel para caixa d'agua  pvc 40mm; tampa para caixa d'agu;56;45;23;22
569;fundo preparador acrilico base agua 18 litr; espacador rigido para lt;56;43;25;18
587;instalacoes hidraulicasponto de agua frio embutidocaixa de descargalavatori; regulador hidraulico de agua de motor a jato de aeronav;56;75;56;19
603;jarra para agua  capacidade 02 litr; bloco avaliacao capacidade labor;56;35;33;2
681;luva pagua 32mm pvc de corr; luva para procedimento nao cirurg;56;27;34;-7
685;luva pvc soldavel12  agu; tubo pvc solda;56;24;15;9
831;seladora para madeira a base de agua 36 litrosnbr 11702; velador para camara de ion de reator nucl;56;55;42;13
867;suco integral de maracujaaguasuco concentrado de maracuj; estacao industrial de tratamento de agu;56;56;40;16
954;tubo de queda  agua pluvial dn=150 mm; tubo de queda metal;56;37;20;17
19;00000291  agua mineral copo 200 ml; agua mineral nat;55;34;17;17
29;009945 lixa dagua 150; caixa d'agu;55;21;12;9
96;agua 500 ml; agua miner;55;11;11;0
129;agua destilada injetavel 10ml; destilador teflon;55;29;18;11
134;agua em galao lacrado 20 litr; caixa de aco para lix;55;29;22;7
155;agua mineral galao 20 litros somente liqu; terminal grafico de processamento de d;55;41;39;2
211;agua sanitaria 2000ml gala; agulha para ligad;55;26;18;8
213;agua sanitaria a base de cloro frasco de 1 litr; maquina industrial de modelar fio de met;55;47;41;6
272;biscoito de sal tipo agua e sal com 15kg; coletor de lixo  articulado  com cab;55;40;37;3
310;bomba d agua   sandeiro 10 16v ano 2013; bomba d ' agua para mo;55;39;23;16
346;caixa d  agua de polietilenocapacidade 310l; caixa d'agua de amiant;55;43;23;20
357;caixa d agua polietileno c tampa 1000 litros 74251; tanque de agua domestico ate 400 litr;55;50;38;12
384;caixa d'agua polietileno 500 litros com tampa na cor azul; caixa d'agua de aco com colun;55;57;30;27
488;curativo a base de agua hidrogel com 60% agu; curativo hidrogel;55;44;18;26
491;curva 45deg pvc agua fria 20mm ou 34; cuba de pvc para p;55;36;19;17
551;filtro separador de agua vw 15 190 eod e  hd or; feltro para apagador de quadro negr;55;47;36;11
552;filtro separadr de agua e oleo para trator valtra 4x4; filtro purificador de ar  motor veiculo  automot;55;53;49;4
556;flange de pvc ? marrom agua fr; flange para guias de ond;55;30;25;5
595;item 31759 bomba d?agua 5047138; alicate bomba d'agu;55;31;20;11
674;luva 50 mm pagu; luva para gol;55;15;14;1
684;luva pvc roscavel branca para agua fria 112; bucha instalacao predial agua fr;55;43;33;10
803;reservagua radiador hlf8198; radiador ole;55;27;13;14
897;tecido tricoline mista com elastano cor verde agu; acumulador eletrico estatico estacionario chumbo  ac;55;49;53;-4
942;trocar cebolao   kombi agu; rotor bomba d'agu;55;26;18;8
951;tubo de pvc ponta e bolsa soldavel de 25mm p instalacao agua fr; tubo de aco inoxidavel de construcao mecan;55;63;43;20
957;tubo pvc 12 para agua a  6 metr; tubo vidro para laboratori;55;31;27;4
974;uniao pvc para solda 85 mm agua fr; ferro para solda a g;55;34;21;13
22;000926 agua oxigenada 10 volum; agua adicionada com s;54;30;22;8
103;agua bidestilada para injecao esteril  ampola 10 ml; maquinaria para reducao industrial de tamanh;54;51;45;6
161;agua mineral natural sem gas  garrafao com 20 litr; oficina rural com base para acoplamento ao tra;54;50;47;3
165;agua mineral sem gas  agua mineral sem gas galao de 20 litr; maquina industrial de serrar metal  serra de fit;54;59;49;10
212;agua sanitaria = 1 litro =; agua sanit;54;26;11;15
222;agua santasitio do marciositio do paulo nazariotomb; automatico de partida  veiculo automo;54;51;38;13
233;anel sincron 1a  2a  kombi agu; anel sincronizador caixa de marcha  veiculo a    utomo;54;30;55;-25
428;cap pvc soldavel 40 mm para agua fria pred; mancal para vagao ferroviari;54;42;29;13
444;chuveiro simples de pvc  agua fria de 7  chuveiro simples de pvc  agua fria de 7; aquecedor industrial de agua  acima de 400 litros de capacidade ;54;80;65;15
584;higienizacao de caixa d`agua  lote 38; estrado de carga  palete ;54;37;26;11
600;jarra de vidro p agua c tampa  210030032; artigo de vidro para m;54;40;23;17
649;lixa d'agua 100 lixa d'agua 100; boia caixa d'agu;54;31;17;14
660;lixa d?agua no 120; caixa d'agua de amiant;54;18;23;-5
721;medidor de cloro instrumento pratico e seguro para analises de cloro na agua em laboratorios e a c; instrumento de medicao de teor alcoolico para laboratori;54;98;57;41
798;remover instalar manga eixo   kombi agu; removedor tinta impressao digit;54;39;32;7
815;reservatorio em metal com capacidade de 50000 mil litros de agua em formato cilindrico ; reservatorio compensacao de agua de radiador de motor  veiculo automo;54;87;70;17
847;servico de limpeza de caixa d agua de 250 litros com o fornecimento de mao de obra todos os insumos equipamentos e ferramentas necessarias dentro do telh; servicos de leasing ou aluguel de televisores radios gravadores de video e equipamentos e acessorios correlat;54;153;110;43
916;tinta esmalte base agua premium acetinado ; tinta base  prim;54;42;17;25
931;tinta para esponja de carimbo  cor azul composicao agua e glicol; parafuso pressao de madeira com porca  auto   rosc;54;64;51;13
43;105026  lixa abrasiva  tipo d? agua  no 120; tira abrasiva  uso odontolog;53;43;29;14
94;agar padrao pca meio para enumeracao de bacterias em agua para placa de contagem de colon; equipamento especializado para oficina de manutencao e reparo de material de controle de tir;53;89;93;-4
99;agua bi destilada para injecao esteril frasco com 10 ml; presilha de arame para fixacao de farol;53;55;40;15
126;agua destilada e deionizada galao 5 litr; testador isolacao alta volt;53;40;28;12
135;agua minera naturalacondeciana emgalao de 20 litr; minerais naturais e sinte;53;49;26;23
153;agua mineral copo caracteristicas agua mineral natural embalagem copo de 200 ml; maquina para trituracao esmagamento ou moagem de gra;53;79;53;26
178;agua oxigenada 10 volumes  01 litr; tanque de agua domestico ate 400 litr;53;34;38;-4
186;agua oxigenada volume 10 solucao de peroxido de hidrogenio 3%; peroxido de hidrogeni;53;61;22;39
214;agua sanitaria alvejante e desinfetante de uso geral 1 l; maquina industrial de travar dente de serr;53;56;43;13
267;biscoito agua e sal boa qual; sistema de alto  fal;53;28;21;7
281;biscoito agua e sal 370 gr; bico injetor jateamento de are;53;26;31;-5
292;boia p cx d agua 12  haste metal ; conexao hidraulica  material metalico ferr;53;33;43;-10
334;bomba de agua orig p scania huber wabco vw 15190  ivec; bomba de ar pecas e acessori;53;54;29;25
423;cano marrom pvc 20 mm agu; chancelador marca d'agu;53;25;24;1
424;cano marrom pvc agua 50mm ; canhao monitor de agua e espum;53;26;31;-5
456;coluna para deionizador de agua modelo permution capacidade 50 litrosh; aquecedor industrial de agua  acima de 400 litros de capacidade ;53;70;65;5
490;curva 20x45 sold agu; caixa d ' agu;53;20;14;6
492;curva 90 graus em pvc soldavel para agua 25mm; cuba de aco inoxidavel para p;53;45;30;15
540;filtro para agua em bebedouro de 10  e vazao de 2 a 4 m h ; feltro para apagador de quadro negr;53;58;36;22
549;filtro separador de agua r 120 lj onibus vw 15190; filtro purificador de ar  motor veiculo  automot;53;49;49;0
586;inseticida aerosol baixa toxidade com solvente a base de agua sem cfc; peca  acessorio  componente para mop agua  p;53;69;45;24
616;joelho em pvc para agua bitola de 34' rosca de 45; protecao memoria para unidade de processamento de d;53;49;52;-3
654;lixa d'agua g 360 oxido aluminio costado papel; tubo de aluminio de construcao mecan;53;46;37;9
677;luva de correr pvc marrom agua fria 40mm; corrente para carga de aram;53;40;28;12
764;prestacao de servicos com caminhao equipado com pipa ii para abastecimento de agua em comunidades divers; servicos do comercio por atacado prestado por comissao ou   por contratode bens de consumo divers;53;104;98;6
