dsc_item,n
"ACEM MOIDO - ACEM MOIDO   CARNE BOVINA DE SEGUNDA, EMBALADA EM SACOS RESISTENTES, COM PESO DE 1KG. PRODUTO COM REGISTRO NO SIF/IMA. LIMPA, RESFRIADA A UMA TEMPERATURA NAO SUPERIOR A 4 C. APRESENTANDO NO MAXIMO 6  DE GORDURA E 3  DE AGUA, SEM CARTILAGEM OU OSSO. PROVENIENTE DA MOAGEM DE ANIMAIS SADIOS, ABATIDOS SOB INSPECAO VETERINARIA. A CARNE DEVE APRESENTAR-SE LIVRE DE PARASITOS E DE QUALQUER SUBSTANCIA CONTAMINANTE QUE POSSA ALTERA-LA OU ENCOBRIR ALGUMA ALTERACAO. CARACTERISTICAS ORGANOLEPTICAS DEVEM ESTAR TODAS NORMAIS. NAO SERA PERMITIDA A OBTENCAO DO PRODUTO A PARTIR DE MOAGEM DE CARNES ORIUNDAS DA RASPA DE OSSOS E CARNE MECANICAMENTE SEPARADA. NAO SERAO PERMITIDOS ADITIVOS E COADJUVANTES DE TECNOLOGIA/ ELABORACAO. NECESSARIO A APRESENTACAO DE CERTIFICADO SANITARIO CONFORME LEGISLACAO VIGENTE. DEVE TER DATA DE VALIDADE SUPERIOR A 6 MESES APOS A DATA DE ENTREGA.",1
"ACIDO FLUOSSILICICO PARA TRATAMENTO DE AGUA, COM AS SEGUINTES CARACTERISTICAS: ASPECTO: CLARO E LIMPIDO - TEOR DE H2S1FS: MINIMO DE 20% EM MASSA - DENSIDADE: 1,20 G/ML - ACIDEZ LIVRE: MAXIMO DE 1%.-MATERIAL EM SUSPENSAO: ISENTO - TEOR DE FERRO TOTAL: MAXIMO 10G/KG-TEOR DE MANGANES TOTAL: MAXIMO 10G/KG - TOXICIDADE OS LIMITES DE TOXICIDADE FORMA CALCULADOS PARA UMA DOSAGEM MAXIMA DE 6,25 MG/L (PPM) DE ACIDO FLUOSSILICIDO A 20%: ARSENIO: MAXIMO 800MG/KG, CROMO: MAXIMO 800MG/KG, CHUMBO: MAXIMO: 800 MG/KG. O PRODUTO DEVERA SER ENTREGUE EM BOMBONAS.",1
ADAP.ALTO-AJUSTAVEL SOLDAVEL PARA CAIXA D AGUA 23MM X 1,1
ADAPTADOR C/ FLANGE E ANEL P/ CAIXA D?AGUA,1
ADAPTADOR COLA E ROSCA 50MM AGUA,1
ADAPTADOR DE AGUA DE 3/4 POLEGADA MARRON,1
ADAPTADOR DE CAIXA D AGUA 50MM - ADAPTADOR SOLDAVEL COM ANEL PARA CAIXA D AGUA FEITO COM PVC DE ALTA DURABILIDADE. QUALIDADE SUPERIOR A TIGRE OU AMANCO.,1
ADAPTADOR DE CAIXA DE AGUA SOLDAVEL 20 X 1/2,1
ADAPTADOR DE PVC COM FLANGE PARA CAIXA D.AGUA 25MM X 3/4',1
ADAPTADOR FLANGE PARA CAIXA D'     AGUA 32 MM,1
ADAPTADOR P/ CX. D AGUA 25 MM - FRANJE,1
ADAPTADOR SOLDAVEL PARA CAIXA D'AGUA PVC 25MM X ?.,1
ADAPTADOR SOLDAVEL PARA CAIXA D?AGUA PVC 50MM X 1 12,1
"ADESIVO BSN MEDICAL TRANSPARENTE PARA FIXACAO ADESIVO BSN MEDICAL TRANSPARENTE PARA FIXACAO DE CURATIVOS ROLO 10CM X 10M: ADESIVO TRANSPARENTE HIPOALERGENICO UTILIZADO PARA FIXACAO DE CURATIVOS, DRENOS E CATETERES. E COMPOSTO POR UM FILME TRANSPARENTE QUE ADAPTA-SE AO CONTORNO DA PELE SEM PREJUDICAR SUA RESPIRACAO OU CAUSAR IRRITACOES.O ADESIVO TRANSPARENTE PROTEGE AS FERIDAS DO CONTATO COM AGUA, UMIDADE E CONTAMINACAO, PERMITINDO QUE OS PACIENTES MANTENHAM AS SUAS ATIVIDADES NORMAIS COM A AGUA COMO POR EXEMPLO O BANHO.",1
"ADESIVO P ESMALTE E DENTINA FOTOPOLIMERIZAVEL ADESIVO PARA ESMALTE E DENTINA FOTOPOLIMERIZAVEL, SOLVENTE DE AGUA E ALCOOL, MONOCOMPONENTE QUE PERMITA O USO COMO PRIMER E ADESIVO SIMULTANEAMENTE. E QUE APRESENTE EM SUA COMPOSICAO: ALCOOL ETILICO, BISF",1
"ADESIVO PARA RESINA BIS-GMA HEMA - DIMETACRILATO, ETANOL, AGUA, METACRILATO DE ACIDOMETRACRILICO E DE POLIACRILICO E POLIALCENOICO.",1
"ADOCANTE DIETETICO LIQUIDO - 100% STEVIA. INGREDIENTES: AGUA, EDULCORANTES NATURAIS GLICOSIDEOS DE STEVIOL, CONSERVANTES: BENZOATO DE SODIO E SORBATO DE POTASSIO, ACIDULANTE: ACIDO CITRICO. SEM ASPARTAME, SEM CICLAMATO, SEM SACARINA, SEM ACESULFAME-K. UNIDADES DE 80ML. PRAZO DE VALIDADE MINIMO 2 ANOS A CONTAR A PARTIRDA DATA DE ENTREGA",1
"ADOCANTE DIETETICO LIQUIDO ADOCANTE DIETETICO LIQUIDO: AGUA, EDULCORANTES ARTIFICIAIS: SUCRALOSE E ACESULFAME-K, ESPESSANTE CARBOXI METIL CELULOSE, CONSERVANTE BENZOATO DE SODIO E ACIDULANTE ACIDO CITRICO, FRASCO PLASTICO COM BICO DOSADOR DE 50 A100ML,",1
"ADOCANTE DIETETICO LIQUIDO COMPOSTO POR AGUA, EDULCORANTES ARTIFICIAIS: SUCRALOSE E ACESULFAME-K,",1
"ADOCANTE DIETETICO, ASPECTO LIQUIDO TRANSPARENTE, CONSTITUIDO DE AGUA, EDULCORANTES ARTIFICIAIS, SACARINA SODICA, CICLAMATO DE SODIO, COM BICO DOSADOR. FRASCO COM 200ML.",1
"ADOCANTE FRASCO DE 100 ML - ADOCANTE LIQUIDO COM OS SEGUINTES INGREDIENTES: AGUA, SORBITOL, EDULCORANTES ARTIFICIAIS: CICLAMATO DE SODIO, E SACARINA SODICA, CONSERVANTES: ACIDO BENZOICO, METILPARBENO. VALOR CALORICO ...........0,007KCAL 0 CARBOIDRATO",1
"ADOCANTE LIQUIDO SUCRALOSE: EDULCORANTE DERIVADO DA CANA DE ACUCAR. INGREDIENTES: AGUA, EDULCORANTES: SUCRALOSE E ACESULFAME DE POTASSIO, CONSERVADOR BENZOATO DE SODIO, ACIDULANTE ACIDO CITRICO E ESPESSANTE CARBOXIMETILCELULOSE SODICA. EMBALAGEM PLASTICA CONTENDO NO MINIMO DE 25ML. APRESENTAR ROTULAGEM DE ACORDO COM A LEGISLACAO VIGENTE. VALIDADE MINIMA DE 10 MESES.",1
"AGAR PADRAO PCA MEIO PARA ENUMERACAO DE BACTERIAS EM AGUA, PARA PLACA DE CONTAGEM DE COLONIAS.",1
"AGUA  SANITARIA - EMBALAGEM DE 01 LITRO. COMPOSICAO: HIPOCLORITO DE SODIO, CLORETO DE SODIO E AGUA, TEOR CLORO ATIVO 2,0% A 2,5%,  MELHOR QUALIDADE .",1
AGUA 500 ML,1
AGUA BI DESMINERALIZADA,1
AGUA BI DESTILADA 10ML CX C  200 AMP 150192,1
AGUA BI DESTILADA PARA INJECAO ESTERIL FRASCO COM 10 ML,1
AGUA BI-DESMINERALIZADA PARA AUTOCLAVE DE 05 LTS,1
AGUA BI-DESTILADA 5 ML,1
AGUA BI-DESTILADA AMP 10ML,1
AGUA BI-DESTILADA PARA INJECAO ESTERIL - AMPOLA 10 ML,1
"AGUA BI-DESTILADA, AMP 10ML. EMBALAGEM COM 100UN",1
AGUA BIDESTILADA (ABD) INJETAVEL 10 ML,1
AGUA BIDESTILADA 10 ML,1
AGUA BIDESTILADA AMPOLA C/ 10 ML,1
AGUA BIDESTILADA PARA INJECAO 10 ML,1
AGUA BORICADA 3% 1000 ML,1
"AGUA DE COCO CAIXA DE AGUA DE COCO 1 LT, DE BOA QUALIDADE",1
AGUA DEIONIZADA,1
AGUA DESMINERALIZADA - GALAO 5 LITROS,1
"AGUA DESTILADA (GALAO 5 LITROS) AGUA DESTILADA COM CONDUTIVIDADE MAXIMA DE 1,3 ΜS/CM - GALAO DE 5 LITROS",1
"AGUA DESTILADA (GALAO 5 LITROS) GALAO DE AGUA DESTILADA NAO INJETAVEL, NAO ESTERIL E QUIMICAMENTE PURA. PODE SER UTILIZADA EM AUTOCLAVES, IPL E APARELHOS DE CRIOLIPOLISE. AGUA DESTILADA PARA USO NO PROCESSO DE ESTERILIZACAO EM AUTOCLAVE E EQUIPAMENTOS DE IPL,",1
AGUA DESTILADA - 5ML,1
AGUA DESTILADA - INJETAVEL AMPOLA 10 ML - AGUA DESTILADA - INJETAVEL AMPOLA 10 ML,1
AGUA DESTILADA 1.000 ML,1
AGUA DESTILADA 10 ML,1
AGUA DESTILADA 1000 ML.,1
AGUA DESTILADA 1000ML,1
AGUA DESTILADA 5 LITROS,1
AGUA DESTILADA 5 LT,1
AGUA DESTILADA 500ML,1
AGUA DESTILADA 5ML,1
"AGUA DESTILADA DE USO PROFISSIONAL, PARA AUTOCLAVE - 090030508",1
AGUA DESTILADA E DEIONIZADA GALAO 5 LITROS.,1
AGUA DESTILADA FRASCO COM 05 LITROS.,1
AGUA DESTILADA INJETAVEL,1
AGUA DESTILADA INJETAVEL 10ML,1
AGUA DESTILADA P/ AUTOCLAVE 5 LITROS AGUA DESTILADA P/ AUTOCLAVE 5 LITROS,1
AGUA DESTILADA PARA INJECAO DE 10 ML,1
"AGUA DESTILADA USO ODONTOLOGICO TIPO NAO ESTERIL COM VOLUME DE  05 . LITROS. NA EMBALAGEM DEVERA CONSTAR A DATA FABRICACAO, VALIDADE, E O NUMERO DO LOTE DO PRODUTO",1
"AGUA DESTILADA, GALAO 5L. DEVERA CONSTAR EXTERNAMENTE OS SEGUINTES DADOS: VALIDADE MINIMA DE 2 ANOS E REGISTRO NO MINISTERIO DA SAUDE. -",1
AGUA EM GALAO LACRADO (20 LITROS),1
AGUA MINERA NATURALACONDECIANA EMGALAO DE 20 LITROS.,1
"AGUA MINERAL  NATURAL SEM GAS  ACONDICIONADA EM GARRAFAO DE 20 LITROS GARRAFAO FABRICADO EM RESINA VIRGEM COM TAMPA DE PRESSAO E LACRE  CONTENDO 20 LITROS,COM VALIDADE MINIMA DE 2 MESES A CONTARDA DATA DA ENTREGA  SEM VASILHAME  SUAS CONDICOES DEVERAO ESTAR DE ACORDO COM O (DEC.3029 DE 16/04/99)  (RDC.274 DE 22/09/05),PORTARIA 387 DE 19/09/08  ABNT/NBR 14.328 DE 18/12/2011 E ABNT NBR 14.222 DE 22/04/2013 E SUAS ALTERACOES POSTERIORES  PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA AOS PROCED.ADMINISTRATIVOS DETERMINADOS PELA ANVISA",1
AGUA MINERAL (SEM GAS) 500 ML,1
AGUA MINERAL - 20 LITROS,1
AGUA MINERAL - BOMBONA 20 LITROS - COM REGISTRO NO MINISTERIO DA AGRICULTURA,1
AGUA MINERAL -SEM GAS  EMBALAGEM PLASTICA DE 500 ML  COM VALIDADE MINIMA DE 10 MESES E DATA DE ENVASE NAO SUPERIOR A 60 DIAS,1
"AGUA MINERAL 1,5 LITROS NATURAL SEM GAS, DE PRIMEIRA QUALIDADE, ACONDICIONADA EM GARRAFA PET, TAMPA COM ROSA E LACRE, DATA DE VALIDADE DE NO MINIMO 06 ( SEIS) MESES A PARTIR DO SEU ENVASAMENTO. A ROTULAGEM DEVE CONTER AINDA: MARCA, CLASSIFICACAO, FONTE DE PROCEDENCIA, PRAZO DE VALIDADE, DATA DE ENVASE, CARACTERISTICAS FISICO- QUIMICA E DEMAIS INFORMACOES EXIGIDA NA LEGISLACAO EM VIGOR.",1
AGUA MINERAL 20 L COM O GALAO,1
AGUA MINERAL 20 LITROS.,1
AGUA MINERAL 500ML S/GAS GARRA,1
"AGUA MINERAL ACONDICIONADA EM GALOES DE POLICARBONATO DE 20 LITROS, COM VASILHAME EM COMODATO.",1
AGUA MINERAL COM GAS - AGUA MINERAL COM GAS EMBALGEM DE 500ML RECICLAVEL,1
AGUA MINERAL COM GAS - GARRAFA DE 500ML - AGUA MINERAL COM GAS - GARRAFA DE 500ML,1
AGUA MINERAL COM GAS 500ML,1
AGUA MINERAL COPO,1
"AGUA MINERAL COPO 200ML - POTAVEL, SEM GAS COPO 200ML  MARCA DE REFERENCIA HELIOS",1
AGUA MINERAL COPO 300ML - SEM GAS- CX 48UND,1
AGUA MINERAL COPO CXA C 48 UNIDADES,1
"AGUA MINERAL COPO, CARACTERISTICAS: AGUA MINERAL NATURAL. EMBALAGEM COPO DE 200 ML",1
AGUA MINERAL GALAO 20 LITROS,1
AGUA MINERAL GALAO 20 LITROS SOMENTE LIQUIDO,1
AGUA MINERAL GALAO DE 20 LITROS.,1
"AGUA MINERAL GARRAFA PLASTICA DE 600 ML S/ GAS, FARDO COM 12 UNIDADES, TIPO YARA, SIMILAR, EQUIVALENTE OU DE MELHOR QUALIDADE.",1
AGUA MINERAL LITRO 991012,1
AGUA MINERAL NATURAL COPO 200 ML CAIXA COM 48 COPOS - ME/EPP,1
AGUA MINERAL NATURAL S/ GAS RECIPIENTE 20LTS COM DEVOLUCAO,1
"AGUA MINERAL NATURAL, SEM GAS,  GARRAFAO COM 20 LITROS",1
AGUA MINERAL S/ GAS 500ML  C/24UNID AGUA MINERAL S/ GAS 500ML  C/24UNID,1
AGUA MINERAL S/GAS - 500 ML,1
AGUA MINERAL S/GAS 500ML FARDO COM 12 GARRAFAS. - AGUA MINERAL S/GAS 500ML FARDO COM 12 GARRAFAS.,1
"AGUA MINERAL SEM GAS - AGUA MINERAL SEM GAS, GALAO DE 20 LITROS",1
AGUA MINERAL SEM GAS 20 L,1
"AGUA MINERAL SEM GAS 200ML - INFORMACOES ADICIONAIS: PRODUTO DE BOA QUALIDADE, POTAVEL, COM TAMPA ALUMINIZADA E DEVE ESTAR ACONDICIONADA EM COPO PLASTICO, NAO TOXICO, INTACTO, DESINFETADO, SEM EVIDENCIAS DE VIOLACAO, DE REMENDOS, MANCHAS OU AMASSADOSE ROTULADOS NA ORIGEM COM MARCA, CLASSIFICACAO, FONTE DE PROCEDENCIA, PRAZO DE VALIDADE, DATA DE ENVASE, CARACTERISTICAS FISICO-QUIMICAS E DEMAIS INFORMACOES EXIGIDAS NA LEGISLACAO EM VIGOR  FORNECIMENTO: EMBALAGEM CONTENDO 48 COPOS DE 200ML CADA.",1
AGUA MINERAL SEM GAS 500 ML,1
AGUA MINERAL SEM GAS COM 6 GARRAFAS DE 1.500 ML,1
AGUA MINERAL SEM GAS COPO,1
"AGUA MINERAL, NATURAL SEM GAS ? 500 ML: ACONDICIONADA EM GARRAFA PET, TAMPA C/ROSCA E LACRE, CONTENDO 500 ML, PACOTE COM 12 UNIDADES, VALIDADE DE 11 MESES A CONTAR DA DATA DA ENTREGA, SUAS CONDICOES DEVERAO ESTAR DE ACORDO COM O DEC. 3029 DE 16/04/99 E RDC 274 DE 22/09/2005 E SUAS ALTERACOES POSTERIORES. PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA AOS PROCEDIMENTOS ADMINISTRATIVOS DETERMINADOS PELA ANVISA.",1
"AGUA MINERAL, SEM GAS, 200ML, PARA ENTREGA EMBALAGEM DE PLASTICO, DENTRO DAS REGRAS DE COMERCIALIZACAO",1
"AGUA MINERAL, SEM GAS, 500ML.",1
AGUA OXIGENADA 10 V,1
AGUA OXIGENADA 10 VL. FRASCO 1 LITRO,1
AGUA OXIGENADA 10 VOL. 1000ML,1
AGUA OXIGENADA 10 VOLUMES,1
AGUA OXIGENADA 10 VOLUMES - 01 LITRO,1
AGUA OXIGENADA 10 VOLUMES 1000ML,1
AGUA OXIGENADA 10 VOLUMES 1000ML 572271,1
AGUA OXIGENADA 10 VOLUMES FRASCO 1 LITRO,1
AGUA OXIGENADA 10 VOLUMES-FRASCO CONTENDO 1000ML. REGISTRO NA ANVISA. APRESENTAR FOLDER. VALIDADE MINIMA DE 24 MESES A PARTIR DA DATA DE ENTREGA.,1
AGUA OXIGENADA 1000 ML   570100164,1
AGUA OXIGENADA A 10   FRASCO COM 1 LITRO  AGUA OXIGENADA A 10   FRASCO COM 1 LITRO,1
AGUA OXIGENADA A 10 VOLUMES (150216035737009),1
AGUA OXIGENADA VOLUME 10 /SOLUCAO DE PEROXIDO DE HIDROGENIO 3%/,1
AGUA P/ INJECAO BOLSA 01LT,1
AGUA P/INJECAO 5ML,1
AGUA PARA AUTOCLAVE,1
AGUA PARA INJECAO (DILUENTE) 10ML - 090012792,1
AGUA PARA INJECAO 10 ML AGUA PARA INJECAO 10 ML,1
AGUA PARA INJECAO 5 ML AGUA PARA INJECAO 5 ML,1
AGUA PARA INJECAO 5ML  AGUA PARA INJECAO 5ML,1
AGUA PARA INJECAO ABD 10 ML.,1
AGUA PARA INJECAO COM 1000ML,1
AGUA PARA INJETAVEIS AMPOLA 5 ML,1
AGUA PRA INJECAO 10 ML CX C/100,1
AGUA RAZ 1 LITRO,1
AGUA RAZ 5L,1
