ID,dsc_item,melhor_classif,match_score
35,021400007000005   servicos de buffetdescricao contratacao de empresa especializada para prestacao de servicos alimentacao tipo caldos sem bebida alcoolica cardapio agua mineral 03 tipos de sucos naturais acido semi acido e nao acido refrig, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,45
36,021900001700112  joelho 90 graus com bucha de latao pvc soldavel dn 25mm x 12 instalado em ramal ou subramal de agua  fornecimento e instalaca, servicos gerais de construcao de instalacoes ao ar livre    para desportos e laz,43
37,028475 filtro d agua wf c2 psa331, areia  filtracao de agu,46
38,038827 agua sanitaria 5 lt, agua sanit,59
39,070401  calha de chapa galvanizada no 24 desenvolvimento 33 cm                    condutor de agua pluvial e buzinotes sera medido por comprimento instalado m o item remunera o fornecimento de materiais e mao de obra para instalacao de tubo na cor branca condutores verticais e executadas com pvc reforcado com  as juntas com bolsa e anel de borracha inclusive materiais acessorios para emendas suportes juncao em outras pecas vedacao e fixaca, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,31
40,1 filtro separador d'agu, areia  filtracao de agu,58
41,1265 te soldavel pvc 90 graus50 mm para agua fria predial nbr 5648, oleos e graxas para corte lubrificacao e sistemas hidraul,42
42,101049  plug conexao  materiaprima ferro galvanizado tipo roscavel externo medidas 1 12 polegadas aplicacao isolamento e protecao em rede de agu, servicos de instalacao da maquinaria e dos equipamentos medicos profissionaise instrumentos de precisao e o,47
43,105026  lixa abrasiva  tipo d? agua  no 120, aspirador po  agua  industr,48
44,108374  luva  materiaprima pvc medidas 20mm tipo1 simples tipo2 soldavel aplicacao agu, materiasprimas diversas florestais e agricol,47
45,108547  tampao  materiaprima pvc tipo soldavel diametro nominal 20mm rede agu, materia prima vegetal para fabricar perfum,45
46,10944  te conexao  materiaprima pvc medidas 32mm tipo soldavel finalidade agu, materia prima vegetal para fabricar perfum,45
47,11342  bucha de reducao  materiaprima pvc diametro nominal 112 x 34 polegadas tipo roscavel aplicacao para rede de agu, servicos de instalacao de maquinaria e de equipamentos industriais de manfatura e serv,44
48,115086  portal de madeira macica conforme abnt nbr 159302011 para pintura com tinta a base d'agua para porta de 100x210m, barra de aco carbono  para  construcao  mecanica acima de 50m,45
49,128375  desinfeccao e limpeza de 08 caixas d'agua de 1000 litros local em maria aparecida brandao vieira endereco avenida santa rita 90 santa rit, servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,43
50,128411  desinfeccao e limpeza de 1 caixa d agua de 500 litros local psf da comunidade de goncalves endereco comunidade de concalv, servicos gerais de construcao de tubulacoeslinhas de comunicacao e de energia de longa distanc,47
51,144 conexao hidraulica material pvc  cloreto de polivinila tipo luva tipo fixacao soldavel e roscavel bitola lado roscavel 1 bitola lado soldave  conexao hidraulica material pvc  cloreto de polivinila tipo luva tipo fixacao soldavel e roscavel bitola lado roscavel 1 bitola lado soldavel 32 aplicacao instalacoes prediais agua fr, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,35
52,14642 bolacha agua e s, bola squash,53
53,150203  fornecimento e instalacao de rodapes ceramica h = 10cm sera medido por comprimento de rodape colocado m o item remunera o fornecimento de rodape em placa ceramica esmaltada de primeira qualidade  classe a ou classe extra  conforme anexo a da nbr 13818 indicado para pisos internos sujeitos a lavagem frequente com as caracteristicas a dimensoes 10 x 30 cm b media absorcao de agua 3%< abs < 6% grupo biia  semigres   c resistencia quimica classe a  alta resistencia quimica a produtos domesticos e de piscinas  d resistencia ao manchamento classe de limpabilidade 5 e carga de ruptura > 1000 n f resistencia a abrasao superficial classe v pei5 g resistencia ao risco escala mohs > 5 h resistente a gretagem i resistente ao choque termico j coeficiente de atrito > 040  classe 2  remunera tambem o fornecimento de argamassa colante industrializada tipo aci e a maodeobra necessaria para a  execucao dos serv, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,20
54,17 conexao hidraulica  aplicacao caixa d agua bitolai     conexao hidraulica material pvc  cloreto de polivinila tipo adaptador com flanges e anel vedacao tipo fixacao roscavel aplicacao caixa d agua bitol, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,41
55,184  curva pvc 90g crosca pagua fria pred, materia prima vegetal para fabricar perfum,48
56,280joelho 90 graus pvc soldavel dn 32mm instalado em ramal ou subramal de agua joelho 90 graus pvc soldavel dn 32mm instalado em ramal ou subramal de agua  fornecimento e instalacao af_122014, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,40
57,3225 agua destil, agulha de estof,62
58,39862  luva  materiaprima latao medidas 12 polegada tipo1 simples tipo2 roscavel aplicacao agu, materiais refratarios e de acabamento superficial contrafo g,46
59,4*1 estacao de tratamento de agua com capacidade de 08 ls contendo unidade de pre tratamento unidade de microfiltracao e sistema de desinfeccao por misturador esta, servicos de instalacao da maquinaria e dos equipamentos medicos profissionaise instrumentos de precisao e o,48
60,611 fornecimento e assentamento de tubo pvc rigido soldavel agua fria dn 20 mm 12 inclusive conexo, servicos de manutencao e reparo da maquinaria de escritorio e cont,47
61,6q0 122051am  mangueira inf radiador mangueira d agu, bandeira sinalizacao de trafeg,46
62,724 ducha higienica com registro para controle do fluxo de agua 12, peca  acessorio  componente para mop agua  p,47
63,71100619 bomba da agu, bomba aspiradora mortu,50
64,72 conexao hidraulica material pvc tipo te soldavel bitola lado soldavel 20  conexao hidraulica material pvc  cloreto de polivinila tipo te tipo fixacao soldavel bitola lado soldavel 20 aplicacao instalacoes prediais agua fria normas tecn, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,38
65,7975  tubos nao metalicos rigidos  materiaprima pvc tipo colavel diametro 12 polegada aplicacao rede agua comprimento 06 metros medidas em metro corr, servicos de  arrendamento  mercantil operacional ou locacaode maquinas e equipamentos sem oper,45
66,8  agua sanitaria 1 litr, agua sanit,63
67,83 composicao representativa do servico de instalacao de tubos de pvc soldavel agua fria dn 25 mm instalado em ramal subramal ramal de distribuicao ou prumada inclusive conexoes cortes e fixacoes para predios af_102015, servicos de instalacao da maquinaria e dos equipamentos medicos profissionaise instrumentos de precisao e o,43
68,8186  te conexao  materiaprima pvc medidas 50 x 34 tipo soldavel de reducao finalidade agu, servicos do comercio por atacado prestado por comissao ou   por contrato de frutas e legum,46
69,89366 sinapi joelho 90 graus com bucha de latao pvc soldavel dn 25mm x 34? instalado em ramal ou subramal de agua  fornecimento e instalacao af_122014, servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,43
70,89522  joelho 90 graus  joelho 90 graus pvc serie r agua pluvial dn 75 mm junta elastica fornecido e instalado em ramal de encaminhamento af_122014, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,43
71,abastecimento de agua  rebobinamento motor monofasico de 5 cv ip 55 220440v 2 polos weg  un, servicos de arrendamento ou leasing relativos a bens reais  proprios ou arrend,46
72,acem moido  acem moido   carne bovina de segunda embalada em sacos resistentes com peso de 1kg produto com registro no sifima limpa resfriada a uma temperatura nao superior a 4 c apresentando no maximo 6  de gordura e 3  de agua sem cartilagem ou osso proveniente da moagem de animais sadios abatidos sob inspecao veterinaria a carne deve apresentarse livre de parasitos e de qualquer substancia contaminante que possa alterala ou encobrir alguma alteracao caracteristicas organolepticas devem estar todas normais nao sera permitida a obtencao do produto a partir de moagem de carnes oriundas da raspa de ossos e carne mecanicamente separada nao serao permitidos aditivos e coadjuvantes de tecnologia elaboracao necessario a apresentacao de certificado sanitario conforme legislacao vigente deve ter data de validade superior a 6 meses apos a data de entreg, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,22
73,acido fluossilicico para tratamento de agua com as seguintes caracteristicas aspecto claro e limpido  teor de h2s1fs minimo de 20% em massa  densidade 120 gml  acidez livre maximo de 1%material em suspensao isento  teor de ferro total maximo 10gkgteor de manganes total maximo 10gkg  toxicidade os limites de toxicidade forma calculados para uma dosagem maxima de 625 mgl ppm de acido fluossilicido a 20% arsenio maximo 800mgkg cromo maximo 800mgkg chumbo maximo 800 mgkg o produto devera ser entregue em bomb, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,27
74,adapaltoajustavel soldavel para caixa d agua 23mm x 1, preparado soluvel para alimentaca,46
75,adaptador c flange e anel p caixa d?agu, aspirador de po e agu,49
76,adaptador cola e rosca 50mm agu, aspirador de po e agu,57
77,adaptador de agua de 34 polegada marron, amaciador em po de carn,51
78,adaptador de caixa d agua 50mm  adaptador soldavel com anel para caixa d agua feito com pvc de alta durabilidade qualidade superior a tigre ou amanc, servicos de agenciamento de transporte de carga e outros servicos auxiliares de transport,42
79,adaptador de caixa de agua soldavel 20 x 12, removedor de cera de assoalh,50
80,adaptador de pvc com flange para caixa dagua 25mm x 34', peca  acessorio  componente para mop agua  p,48
81,adaptador flange para caixa d'     agua 32 mm, massa de poncar tinta para marcacao do trafeg,46
82,adaptador p cx d agua 25 mm  franj, aspirador po  agua  industr,55
83,adaptador soldavel para caixa d'agua pvc 25mm x ?, preparado soluvel para alimentaca,51
84,adaptador soldavel para caixa d?agua pvc 50mm x 1 12, preparado soluvel para alimentaca,49
85,adesivo bsn medical transparente para fixacao adesivo bsn medical transparente para fixacao de curativos rolo 10cm x 10m adesivo transparente hipoalergenico utilizado para fixacao de curativos drenos e cateteres e composto por um filme transparente que adaptase ao contorno da pele sem prejudicar sua respiracao ou causar irritacoeso adesivo transparente protege as feridas do contato com agua umidade e contaminacao permitindo que os pacientes mantenham as suas atividades normais com a agua como por exemplo o banh, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,29
86,adesivo p esmalte e dentina fotopolimerizavel adesivo para esmalte e dentina fotopolimerizavel solvente de agua e alcool monocomponente que permita o uso como primer e adesivo simultaneamente e que apresente em sua composicao alcool etilico bisf, servicos de instalacao da maquinaria e dos equipamentos medicos profissionaise instrumentos de precisao e o,39
87,adesivo para resina bisgma hema  dimetacrilato etanol agua metacrilato de acidometracrilico e de poliacrilico e polialceno, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,47
88,adocante dietetico liquido  100% stevia ingredientes agua edulcorantes naturais glicosideos de steviol conservantes benzoato de sodio e sorbato de potassio acidulante acido citrico sem aspartame sem ciclamato sem sacarina sem acesulfamek unidades de 80ml prazo de validade minimo 2 anos a contar a partirda data de entreg, servicos de leasing ou aluguel de televisores radios gravadores de video e equipamentos e acessorios correlat,37
89,adocante dietetico liquido adocante dietetico liquido agua edulcorantes artificiais sucralose e acesulfamek espessante carboxi metil celulose conservante benzoato de sodio e acidulante acido citrico frasco plastico com bico dosador de 50 a100ml, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,39
90,adocante dietetico liquido composto por agua edulcorantes artificiais sucralose e acesulfamek, servicos de promocao e apresentacao relacionados as artes cenicas e outros espetaculos ao v,48
91,adocante dietetico aspecto liquido transparente constituido de agua edulcorantes artificiais sacarina sodica ciclamato de sodio com bico dosador frasco com 200ml, servicos especializados  de  instalacao transicao configuracao  customizacao de softw,43
92,adocante frasco de 100 ml  adocante liquido com os seguintes ingredientes agua sorbitol edulcorantes artificiais ciclamato de sodio e sacarina sodica conservantes acido benzoico metilparbeno valor calorico 0007kcal 0 carboidrat, servicos de leasing ou aluguel de televisores radios gravadores de video e equipamentos e acessorios correlat,42
93,adocante liquido sucralose edulcorante derivado da cana de acucar ingredientes agua edulcorantes sucralose e acesulfame de potassio conservador benzoato de sodio acidulante acido citrico e espessante carboximetilcelulose sodica embalagem plastica contendo no minimo de 25ml apresentar rotulagem de acordo com a legislacao vigente validade minima de 10 mes, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,34
94,agar padrao pca meio para enumeracao de bacterias em agua para placa de contagem de colon, servico de perfuracao de pocos de agua e instalacoes de sistemas sep,52
95,agua  sanitaria  embalagem de 01 litro composicao hipoclorito de sodio cloreto de sodio e agua teor cloro ativo 20% a 25%  melhor qualidade , servicos do comercio por atacado prestado por comissao ou   por contrato de frutas e legum,44
96,agua 500 ml, agua miner,55
97,agua bi desminer, agua miner,74
98,agua bi destilada 10ml cx c  200 amp 150192, agua adicionada com s,43
99,agua bi destilada para injecao esteril frasco com 10 ml, molde para injecao de produt,50
100,agua bidesmineralizada para autoclave de 05 lt, animal para producao de leit,53
101,agua bidestilada 5 ml, agua adicionada com s,56
102,agua bidestilada amp 10ml, agua adicionada com s,55
103,agua bidestilada para injecao esteril  ampola 10 ml, maquina de limpar  esterilizar a vap,52
104,agua bidestilada amp 10ml embalagem com 100un, papel picado para embalagem corrug,52
105,agua bidestilada abd injetavel 10 ml, fita de aco para encintamento de embal,48
106,agua bidestilada 10 ml, agua adicionada com s,55
107,agua bidestilada ampola c 10 ml, cartao identificacao  plastico  pvc,51
108,agua bidestilada para injecao 10 ml, molde para injecao de produt,56
109,agua boricada 3% 1000 ml, agua adicionada com s,52
110,agua de coco caixa de agua de coco 1 lt de boa qual, agulha de maquina de costura industrial overloqu,50
111,agua deion, agua ton,74
112,agua desmineralizada  galao 5 litr, agua mineral nat,59
113,agua destilada galao 5 litros agua destilada com condutividade maxima de 13 mscm  galao de 5 litr, barra de aco carbono  para  construcao  mecanica acima de 50m,45
114,agua destilada galao 5 litros galao de agua destilada nao injetavel nao esteril e quimicamente pura pode ser utilizada em autoclaves ipl e aparelhos de criolipolise agua destilada para uso no processo de esterilizacao em autoclave e equipamentos de ipl, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,41
115,agua destilada  5ml, agua adicionada com s,59
116,agua destilada  injetavel ampola 10 ml  agua destilada  injetavel ampola 10 ml, servicos gerais de construcao de instalacoes ao ar livre    para desportos e laz,44
117,agua destilada 1000 ml, agua adicionada com s,55
118,agua destilada 10 ml, agua adicionada com s,57
119,agua destilada 1000 ml, agua adicionada com s,55
120,agua destilada 1000ml, agua adicionada com s,56
121,agua destilada 5 litr, esteira eletr,57
122,agua destilada 5 lt, fruta desidrat,59
123,agua destilada 500ml, agua adicionada com s,57
124,agua destilada 5ml, agua adicionada com s,60
125,agua destilada de uso profissional para autoclave  090030508, perfilado de ferro  espessura ate 3 poleg,45
126,agua destilada e deionizada galao 5 litr, agua adicionada com s,52
127,agua destilada frasco com 05 litr, agua adicionada com s,55
128,agua destilada injeta, agua sanit,56
129,agua destilada injetavel 10ml, chapa de liga mista de met,50
130,agua destilada p autoclave 5 litros agua destilada p autoclave 5 litr, agulha de maquina de costura industrial overloqu,47
131,agua destilada para injecao de 10 ml, molde para injecao de produt,62
132,agua destilada uso odontologico tipo nao esteril com volume de  05  litros na embalagem devera constar a data fabricacao validade e o numero do lote do produt, servicos do comercio por atacado prestado por comissao ou   por contratode bens de consumo divers,44
133,agua destilada galao 5l devera constar externamente os seguintes dados validade minima de 2 anos e registro no ministerio da saude , servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,48
134,agua em galao lacrado 20 litr, aparelho arqueador fit,54
135,agua minera naturalacondeciana emgalao de 20 litr, minerais naturais e sinte,53
136,agua mineral  natural sem gas  acondicionada em garrafao de 20 litros garrafao fabricado em resina virgem com tampa de pressao e lacre  contendo 20 litroscom validade minima de 2 meses a contarda data da entrega  sem vasilhame  suas condicoes deverao estar de acordo com o dec3029 de 160499  rdc274 de 220905portaria 387 de 190908  abntnbr 14328 de 18122011 e abnt nbr 14222 de 22042013 e suas alteracoes posteriores  produto sujeito a verificacao no ato da entrega aos procedadministrativos determinados pela anvis, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,29
137,agua mineral sem gas 500 ml, agua mineral nat,64
138,agua mineral  20 litr, agua mineral nat,74
139,agua mineral  bombona 20 litros  com registro no ministerio da agricult, barra de metal nao ferroso secao semi  circul,48
140,agua mineral sem gas  embalagem plastica de 500 ml  com validade minima de 10 meses e data de envase nao superior a 60 d, servicos gerais de construcao de tubulacoeslinhas de comunicacao e de energia de longa distanc,45
141,agua mineral 15 litros natural sem gas de primeira qualidade acondicionada em garrafa pet tampa com rosa e lacre data de validade de no minimo 06  seis meses a partir do seu envasamento a rotulagem deve conter ainda marca classificacao fonte de procedencia prazo de validade data de envase caracteristicas fisico quimica e demais informacoes exigida na legislacao em vig, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,35
142,agua mineral 20 l com o gala, agua mineral nat,62
143,agua mineral 20 litr, agua mineral nat,76
144,agua mineral 500ml sgas g, agua mineral nat,67
145,agua mineral acondicionada em galoes de policarbonato de 20 litros com vasilhame em comodat, servicos de aluguel de carros de passageiros com motor,49
146,agua mineral com gas  agua mineral com gas embalgem de 500ml recicla, oficina rural com base para acoplamento ao tra,47
147,agua mineral com gas  garrafa de 500ml  agua mineral com gas  garrafa de 500ml, barra de aco carbono  para  construcao  mecanica acima de 50m,49
148,agua mineral com gas 500ml, agua mineral nat,65
149,agua mineral cop, agua mineral nat,79
150,agua mineral copo 200ml  potavel sem gas copo 200ml  marca de referencia heli, plaqueta de material metalico em branco para gravaca,45
151,agua mineral copo 300ml  sem gas cx 48und, agua mineral nat,48
152,agua mineral copo cxa c 48 un, agua mineral nat,61
153,agua mineral copo caracteristicas agua mineral natural embalagem copo de 200 ml, barra de aco carbono  para  construcao  mecanica acima de 50m,48
154,agua mineral galao 20 litr, agua mineral nat,70
155,agua mineral galao 20 litros somente liqu, agua mineral nat,52
156,agua mineral galao de 20 litr, agua mineral nat,65
157,agua mineral garrafa plastica de 600 ml s gas fardo com 12 unidades tipo yara similar equivalente ou de melhor qual, servicos do comercio por atacado prestado por comissao ou   por contratode maquinariaequipamentos e supr,45
158,agua mineral litro 991012, agua mineral nat,67
159,agua mineral natural copo 200 ml caixa com 48 copos  meepp, barra de aco carbono  para  construcao  mecanica acima de 50m,45
160,agua mineral natural s gas recipiente 20lts com devoluca, minerais naturais e sinte,51
161,agua mineral natural sem gas  garrafao com 20 litr, oficina rural com base para acoplamento ao tra,54
162,agua mineral s gas 500ml  c24unid agua mineral s gas 500ml  c24unid, material adquirido pela marinha do brasil,42
163,agua mineral sgas  500 ml, agua mineral nat,67
164,agua mineral sgas 500ml fardo com 12 garrafas  agua mineral sgas 500ml fardo com 12 garraf, refinados e produtos semiacabados  de  metais  basicos  naoferr,43
165,agua mineral sem gas  agua mineral sem gas galao de 20 litr, panagem  para confeccao de aparelho de pesc,47
166,agua mineral sem gas 20 l, agua mineral nat,67
167,agua mineral sem gas 200ml  informacoes adicionais produto de boa qualidade potavel com tampa aluminizada e deve estar acondicionada em copo plastico nao toxico intacto desinfetado sem evidencias de violacao de remendos manchas ou amassadose rotulados na origem com marca classificacao fonte de procedencia prazo de validade data de envase caracteristicas fisicoquimicas e demais informacoes exigidas na legislacao em vigor  fornecimento embalagem contendo 48 copos de 200ml c, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,32
168,agua mineral sem gas 500 ml, agua mineral nat,64
169,agua mineral sem gas com 6 garrafas de 1500 ml, arame de aco para mol,50
170,agua mineral sem gas cop, agua mineral nat,68
171,agua mineral natural sem gas ? 500 ml acondicionada em garrafa pet tampa crosca e lacre contendo 500 ml pacote com 12 unidades validade de 11 meses a contar da data da entrega suas condicoes deverao estar de acordo com o dec 3029 de 160499 e rdc 274 de 22092005 e suas alteracoes posteriores produto sujeito a verificacao no ato da entrega aos procedimentos administrativos determinados pela anvis, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,33
172,agua mineral sem gas 200ml para entrega embalagem de plastico dentro das regras de comercializaca, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,48
173,agua mineral sem gas 500ml, agua mineral nat,65
174,agua oxigenada 10 v, agua adicionada com s,59
175,agua oxigenada 10 vl frasco 1 litr, agua adicionada com s,50
176,agua oxigenada 10 vol 1000ml, agua adicionada com s,52
177,agua oxigenada 10 volum, agua adicionada com s,58
178,agua oxigenada 10 volumes  01 litr, agua adicionada com s,50
179,agua oxigenada 10 volumes 1000ml, agua adicionada com s,52
180,agua oxigenada 10 volumes 1000ml 572271, agua adicionada com s,46
181,agua oxigenada 10 volumes frasco 1 litr, agua adicionada com s,49
182,agua oxigenada 10 volumesfrasco contendo 1000ml registro na anvisa apresentar folder validade minima de 24 meses a partir da data de entreg, servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,43
183,agua oxigenada 1000 ml   570100164, agua adicionada com s,46
184,agua oxigenada a 10   frasco com 1 litro  agua oxigenada a 10   frasco com 1 litr, oficina rural com base para acoplamento ao tra,42
185,agua oxigenada a 10 volumes 150216035737009, agua adicionada com s,43
186,agua oxigenada volume 10 solucao de peroxido de hidrogenio 3%, gravacao de som e servicos de posproducao de audi,49
187,agua p injecao bolsa 01lt, agua mineral nat,57
188,agua pinjecao 5ml, agua mineral nat,59
189,agua para autoclav, agulha para estof,67
190,agua para injecao diluente 10ml  090012792, animal para extracao de l,50
191,agua para injecao 10 ml agua para injecao 10 ml, panagem  para confeccao de aparelho de pesc,51
192,agua para injecao 5 ml agua para injecao 5 ml, panagem  para confeccao de aparelho de pesc,52
193,agua para injecao 5ml  agua para injecao 5ml, prancha para abdom,51
194,agua para injecao abd 10 ml, animal para extracao de l,60
195,agua para injecao com 1000ml, caixa para ninho de colme,56
196,agua para injetaveis ampola 5 ml, animal para extracao de l,55
197,agua pra injecao 10 ml cx c100, animal para extracao de l,50
198,agua raz 1 litr, agua sanit,62
199,agua raz 5l, raiz  al,60
200,agua sanitaria  1000ml 22826, agua sanit,51
201,agua sanitaria  solucao aquosa a base de hipoclorito sodio ou calcio  teor de cloro ativo 2%pp  a 25%pp  acondicionado em frasco plastico opaco de 1 lt56, servicos de impressao e de reproducao por meios de gravacaocomissionado ou por contrat,45
202,agua sanitaria  teor  2 a 2 50  de cloro ativo   frascos de 1l cada 91021, imagem video televisao e programa de radio servicos de produca,46
203,agua sanitaria 210072007890006, agua sanit,49
204,agua sanitaria alvejantedesinfetante bactericida germicida  composicao hipoclorito de sodio hidroxido de sodio  cloreto  e agua embalagens de 1 litro val 6 meses cx c 12 und, servicos do comercio por atacado prestado por comissao ou   por contratode bens de consumo divers,41
205,agua sanitaria  agua sanitaria  cloro ativo  2 a 25 c 20  litr, fita de material plastico para encint,46
206,agua sanitaria  embalagem 1l, embalagem plas,56
207,agua sanitaria 1 litro  base hipoclorito de sodio  agua sanitaria solucao aquosa a base de hipoclorito de sodio  com teor de cloro ativo de 2   dois por cento  a 25   dois e meio por cento  durante o prazo de validade de 06 meses destinada tambem tambem a desinfeccao de agua para consumo humano hortifruticulas e caixas d agua embalagem deve ser opaca com tampa de rosca ou pressao devendo constar o percentual de hipoclorito numero de lote data de fabricacao  devendo ser proximo da data de entrega  o prazo de validade do produto diamesano e demais determinacoes exigidas pelo ministerio da saude acondicionada em frascos plasticos com 01 litr, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,26
208,agua sanitaria 1 litro agua sanitaria 1 litr, catraca raia antimarol,48
209,agua sanitaria 1lt, agua sanit,69
210,agua sanitaria 2 litr, agua sanit,62
211,agua sanitaria 2000ml gala, agua sanit,54
212,agua sanitaria = 1 litro =, agua sanit,54
213,agua sanitaria a base de cloro frasco de 1 litr, pintura a base de col,55
214,agua sanitaria alvejante e desinfetante de uso geral 1 l, solvente de tinta a base de malt,49
215,agua sanitaria com 1000 ml 170675004351083, agua adicionada com s,44
216,agua sanitaria cx 12x1, agua sanit,61
217,agua sanitaria liquido alvejante desinfetante e uso geral liquido transparente composto de hipoclorito de sodio hidroxido de sodio carbonato de sodio e agua com teor de cloro ativo 2  a 25  pesopeso com autorizacao de funcionamento do fabricante concedido pela anvisa frascos de 1 litro com lacre de rosquear caixa com 12 un, servicos de leasing ou aluguel de televisores radios gravadores de video e equipamentos e acessorios correlat,36
218,agua sanitaria solucao aquosa a base de hipoclorito sodio 1 litro agua sanitaria solucao aquosa a base de hipoclorito sodio ou calcio com validade de 6 meses frasco plastico opaco teor de cloro ativo 2 pp a 25 pp 1 litr, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,41
219,agua sanitaria a base de hipoclorito de sodio com teor de cloro ativo entre 20 a 25 % pp embalagem plastica de 01 litro com dados de identificacao do produto marca do fabricante data de fabricacao prazo de validade cx com no minimo 12 und globo ou superi, servicos do comercio por atacado prestado por comissao ou   por contratode maquinariaequipamentos e supr,40
220,agua sanitaria hipoclorito de sodio e agua principio ativo hipoclorito de sodio teor de cloro ativo 20% a 25% pp frasco de 2 litros validade minima 12 meses a partir da data de entreg, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,45
